slug,type,author,title,series,number
7-seconds-to-die-a-military-analysis-of-the-second-nagorno-karabakh-war-and-the-future-of-warfighting-antal-alexander-kott,book,John Antal,7 Seconds to Die: A Military Analysis of the Second Nagorno-Karabakh War and the Future of Warfighting,,
manufacturing-morals-the-values-of-silence-in-business-school-education-anteby,book,Michel Anteby,Manufacturing Morals: The Values of Silence in Business School Education,,
the-great-indoors-anthes,book,Emily Anthes,"The Great Indoors: The Surprising Science of How Buildings Shape Our Behavior, Health, and Happiness",,
how-to-archer-the-ultimate-guide-to-espionage-and-style-and-women-and-also-cocktails-ever-written-archer,book,Sterling Archer,How to Archer: The Ultimate Guide to Espionage and Style and Women and Also Cocktails Ever Written,,
eichmann-in-jerusalem-a-report-on-the-banality-of-evil-arendt,book,Hannah Arendt,Eichmann in Jerusalem: A Report on the Banality of Evil,,
the-tfx-decision-mcnamara-and-the-military-art,book,Robert J. Art,The TFX Decision: McNamara and the Military,,
the-nature-of-technology-what-it-is-and-how-it-evolves-arthur,book,W. Brian Arthur,The Nature of Technology: What It Is and How It Evolves,,
academically-adrift-limited-learning-on-college-campuses-arum-josipa-roksa,book,Richard Arum,Academically Adrift: Limited Learning on College Campuses,,
the-barbary-coast-an-informal-history-of-the-san-francisco-underworld-asbury,book,Herbert Asbury,The Barbary Coast: An Informal History of the San Francisco Underworld,,
vn-ashby,book,Madeline Ashby,vN,,
foundations-edge-asimov,book,Isaac Asimov,Foundation's Edge,,
robot-dreams-robot-04-asimov-ralph-mcquarrie,book,Isaac Asimov,"Robot Dreams (Robot, #0.4)",,
the-caves-of-steel-asimov,book,Isaac Asimov,The Caves of Steel,,
the-end-of-eternity-asimov,book,Isaac Asimov,The End of Eternity,,
the-gods-themselves-asimov,book,Isaac Asimov,The Gods Themselves,,
a-little-war-that-shook-the-world-georgia-russia-and-the-future-of-the-west-asmus,book,Ronald D. Asmus,"A Little War That Shook the World: Georgia, Russia and the Future of the West",,
