slug,type,author,title,series,number
aces-denny,book,Robert Denny,Aces,,
the-dead-girl-in-the-bathtub-depaulo,book,Lisa DePaulo,The Dead Girl in the Bathtub,,
such-great-heights-the-complete-cultural-history-of-the-indie-rock-explosion-deville,book,Chris DeVille,Such Great Heights: The Complete Cultural History of the Indie Rock Explosion,,
second-variety-dick,book,Philip K. Dick,Second Variety,,
the-man-in-the-high-castle-dick,book,Philip K. Dick,The Man in the High Castle,,
exordia-dickinson,book,Seth Dickinson,Exordia,,
the-monster-baru-cormorant-dickinson,book,Seth Dickinson,The Monster Baru Cormorant,The Masquerade,2
the-traitor-baru-cormorant-dickinson,book,Seth Dickinson,The Traitor Baru Cormorant,The Masquerade,1
the-tyrant-baru-cormorant-dickinson,book,Seth Dickinson,The Tyrant Baru Cormorant,The Masquerade,3
silent-knights-blowing-the-whistle-on-military-accidents-and-their-cover-ups-diehl-john-j-nance,book,Alan E. Diehl,Silent Knights: Blowing the Whistle on Military Accidents and Their Cover-Ups,,
spies-in-the-family-an-american-spymaster-his-russian-crown-jewel-and-the-friendship-that-helped-end-the-cold-war-dillon,book,Eva Dillon,"Spies in the Family: An American Spymaster, His Russian Crown Jewel, and the Friendship That Helped End the Cold War",,
streams-of-wisdom-diperna-ken-wilber,book,Dustin DiPerna,Streams of Wisdom,,
the-dreams-our-stuff-is-made-of-how-science-fiction-conquered-the-world-disch,book,Thomas M. Disch,The Dreams Our Stuff is Made Of: How Science Fiction Conquered the World,,
on-the-psychology-of-military-incompetence-dixon,book,Norman F. Dixon,On the Psychology of Military Incompetence,,
in-the-jaws-of-history-vietnam-war-era-classics-series-diem-david-chanoff,book,Bùi Diễm,In the Jaws of History: (Vietnam War Era Classics Series),,
cantors-dilemma-djerassi,book,Carl Djerassi,Cantor's Dilemma,,
the-complete-idiots-guide-to-publishing-science-fiction-doctorow-karl-schroeder,book,Cory Doctorow,The Complete Idiot's Guide to Publishing Science Fiction,,
the-greatest-beer-run-ever-donohue,book,"John ""Chick"" Donohue","The Greatest Beer Run Ever: A Memoir of Friendship, Loyalty, and War",,
once-a-warrior-king-memories-of-an-officer-in-vietnam-donovan,book,David Donovan,Once A Warrior King: Memories of an Officer in Vietnam,,
a-nation-divided-dougan-samuel-lipsman,book,Clark Dougan,A Nation Divided,,
science-policy-and-the-value-free-ideal-douglas,book,Heather E. Douglas,"Science, Policy, and the Value-Free Ideal",,
dune-adventures-in-the-imperium-dowdell,rpg,Nathan Dowdell,Dune: Adventures in the Imperium,,
embracing-defeat-japan-in-the-wake-of-world-war-ii-dower,book,John W. Dower,Embracing Defeat: Japan in the Wake of World War II,,
the-coming-of-the-fairies-doyle-john-m-lynch,book,Arthur Conan Doyle,The Coming of the Fairies,,
a-collision-of-cultures-doyle-stephen-j-weiss,book,Edward Doyle,A Collision of Cultures,,
america-takes-over-doyle,book,Edward Doyle,America Takes Over,,
passing-the-torch-doyle-samuel-lipsman,book,Edward Doyle,Passing the Torch,,
setting-the-stage-doyle-samuel-lipsman,book,Edward Doyle,Setting the Stage,,
starliner-drake,book,David Drake,Starliner,,
the-tank-lords-baen-drake,book,David Drake,The Tank Lords (BAEN),,
court-of-blades-drake-navi-c-drake,rpg,Shawn G Drake,Court of Blades,,
innovation-and-entrepreneurship-drucker,book,Peter F. Drucker,Innovation and Entrepreneurship,,
into-enemy-waters-a-world-war-ii-story-of-the-demolition-divers-who-became-the-navy-seals-dubbins,book,Andrew Dubbins,Into Enemy Waters: A World War II Story of the Demolition Divers Who Became the Navy SEALS,,
drugs-for-life-how-pharmaceutical-companies-define-our-health-experimental-futures-dumit,book,Joseph Dumit,Drugs for Life: How Pharmaceutical Companies Define Our Health (Experimental Futures),,
the-storm-before-the-storm-the-beginning-of-the-end-of-the-roman-republic-duncan,book,Mike Duncan,The Storm Before the Storm: The Beginning of the End of the Roman Republic,,
the-vanishing-neighbor-the-transformation-of-american-community-dunkelman,book,Marc J. Dunkelman,The Vanishing Neighbor: The Transformation of American Community,,
behind-japanese-lines-with-the-oss-in-burma-dunlop,book,Richard Dunlop,Behind Japanese Lines: With the OSS in Burma,,
the-hinge-factor-how-chance-and-stupidity-have-changed-history-durschmied,book,Erik Durschmied,The Hinge Factor: How Chance and Stupidity Have Changed History,,
taking-rights-seriously-dworkin,book,Ronald Dworkin,Taking Rights Seriously,,
the-logic-of-failure-recognizing-and-avoiding-error-in-complex-situations-dorner-robert-kimber,book,Dietrich Dörner,The Logic of Failure: Recognizing and Avoiding Error in Complex Situations,,
the-name-of-the-rose-eco-william-weaver,book,Umberto Eco,The Name of the Rose,,
a-fire-in-the-sun-effinger,book,George Alec Effinger,A Fire in the Sun,Marid Audran,2
the-exile-kiss-effinger,book,George Alec Effinger,The Exile Kiss,Marid Audran,3
when-gravity-fails-effinger,book,George Alec Effinger,When Gravity Fails,Marid Audran,1
dead-mountain-the-untold-true-story-of-the-dyatlov-pass-incident-eichar,book,Donnie Eichar,Dead Mountain: The Untold True Story of the Dyatlov Pass Incident,,
this-is-how-you-lose-the-time-war-el-mohtar-max-gladstone,book,Amal El-Mohtar,This Is How You Lose the Time War,,
neon-black-elliot,rpg,Michael Elliot,Neon Black,,
better-than-well-american-medicine-meets-the-american-dream-elliott-peter-d-kramer,book,Carl Elliott,Better Than Well: American Medicine Meets the American Dream,,
white-coat-black-hat-adventures-on-the-dark-side-of-medicine-elliott,book,Carl Elliott,"White Coat, Black Hat: Adventures on the Dark Side of Medicine",,
pox-romana-the-plague-that-shook-the-roman-world-turning-points-in-ancient-history-elliott,book,Colin Elliott,Pox Romana: The Plague That Shook the Roman World (Turning Points in Ancient History),,
unconquerable-sun-elliott,book,Kate Elliott,Unconquerable Sun,,
deathbird-stories-ellison,book,Harlan Ellison,Deathbird Stories,,
i-have-no-mouth-i-must-scream-ellison-theodore-sturgeon,book,Harlan Ellison,I Have No Mouth & I Must Scream,,
la-confidential-ellroy,book,James Ellroy,L.A. Confidential,L.A. Quartet,3
the-black-dahlia-ellroy,book,James Ellroy,The Black Dahlia,L.A. Quartet,1
the-doomsday-machine-confessions-of-a-nuclear-war-planner-ellsberg,book,Daniel Ellsberg,The Doomsday Machine: Confessions of a Nuclear War Planner,,
no-banners-no-bugles-ellsberg,book,Edward Ellsberg,"No Banners, No Bugles",Salvage,2
on-the-bottom-the-raising-of-the-us-navy-submarine-s-51-ellsberg-edward-l-beach,book,Edward Ellsberg,On the Bottom: The Raising of the U.S. Navy Submarine S-51,,
the-far-shore-ellsberg,book,Edward Ellsberg,The Far Shore,Salvage,3
under-the-red-sea-sun-ellsberg,book,Edward Ellsberg,Under the Red Sea sun,Salvage,1
pet-emezi,audiobook,Akwaeke Emezi,Pet,,
momo-ende,book,Michael Ende,Momo,,
the-works-of-vermin-ennes,book,Hiron Ennes,The Works of Vermin,,
the-sentence-erdrich,book,Louise Erdrich,The Sentence,,
disability-rights-and-the-american-social-safety-net-erkulwater,book,Jennifer L. Erkulwater,Disability Rights and the American Social Safety Net,,
foxtrot-in-kandahar-a-memoir-of-a-cia-officer-in-afghanistan-at-the-inception-of-americas-longest-war-evans,book,Duane Evans,Foxtrot in Kandahar: A Memoir of a CIA Officer in Afghanistan at the Inception of America’s Longest War,,
red-brotherhood-at-war-vietnam-cambodia-and-laos-since-1975-evans-kelvin-rowley,book,Grant Evans,"Red Brotherhood at War: Vietnam, Cambodia and Laos since 1975",,
a-brief-history-of-vice-how-bad-behavior-built-civilization-evans,book,Robert Evans,A Brief History of Vice: How Bad Behavior Built Civilization,,
a-masterpiece-in-disarray-david-lynchs-dunean-oral-history-evry,book,Max Evry,A Masterpiece in Disarray: David Lynch’s Dune—An Oral History,,
how-to-talk-so-little-kids-will-listen-a-survival-guide-to-life-with-children-ages-2-7-faber-julie-king,book,Joanna Faber,How to Talk So Little Kids Will Listen: A Survival Guide to Life with Children Ages 2-7,,
hell-in-a-very-small-place-the-siege-of-dien-bien-phu-fall,book,Bernard B. Fall,Hell in a Very Small Place: The Siege of Dien Bien Phu,,
street-without-joy-the-french-debacle-in-indochina-stackpole-military-history-series-fall,book,Bernard B. Fall,Street Without Joy: The French Debacle in Indochina (Stackpole Military History Series),,
every-man-dies-alone-fallada-michael-hofmann,book,Hans Fallada,Every Man Dies Alone,,
the-ear-the-eye-and-the-arm-farmer,book,Nancy Farmer,"The Ear, the Eye, and the Arm",,
to-your-scattered-bodies-go-farmer,book,Philip José Farmer,To Your Scattered Bodies Go,,
war-on-peace-the-end-of-diplomacy-and-the-decline-of-american-influence-farrow,book,Ronan Farrow,War on Peace: The End of Diplomacy and the Decline of American Influence,,
fitting-in-is-overrated-the-survival-guide-for-anyone-who-has-ever-felt-like-an-outsider-felder,book,Leonard Felder,Fitting In Is Overrated: The Survival Guide for Anyone Who Has Ever Felt Like an Outsider,,
bossypants-fey,book,Tina Fey,Bossypants,,
one-bullet-away-the-making-of-a-marine-officer-fick,book,Nathaniel Fick,One Bullet Away: The Making of a Marine Officer,,
ranger-behind-enemy-lines-in-vietnam-military-illustrated-field,book,Ron Field,Ranger: Behind Enemy Lines in Vietnam (Military Illustrated),,
screenplay-the-foundations-of-screenwriting-paperback-november-29-2005-field,book,Syd Field,"Screenplay: The Foundations of Screenwriting Paperback – November 29, 2005",,
the-crimean-war-a-history-figes,book,Orlando Figes,The Crimean War: A History,,
fractal-paisleys-filippo,book,Paul Di Filippo,Fractal Paisleys,,
shared-fantasy-role-playing-games-as-social-worlds-fine,rpg,Gary Alan Fine,Shared Fantasy: Role Playing Games as Social Worlds,,
the-jasons-the-secret-history-of-sciences-postwar-elite-finkbeiner,book,Ann Finkbeiner,The Jasons: The Secret History of Science's Postwar Elite,,
hieroglyph-stories-and-visions-for-a-better-future-finn-kathryn-cramer,book,Ed Finn,Hieroglyph: Stories and Visions for a Better Future,,
visions-ventures-escape-velocities-a-collection-of-space-futures-finn-joey-eschrich,book,Ed Finn,"Visions, Ventures, Escape Velocities: A Collection of Space Futures",,
an-introduction-to-islam-for-jews-firestone,book,Reuven Firestone,An Introduction to Islam for Jews,,
the-princess-diarist-fisher,book,Carrie Fisher,The Princess Diarist,,
capitalist-realism-is-there-no-alternative-fisher,book,Mark Fisher,Capitalist Realism: Is There No Alternative?,,
the-great-gatsby-fitzgerald,book,F. Scott Fitzgerald,The Great Gatsby,,
way-out-there-in-the-blue-reagan-star-wars-and-the-end-of-the-cold-war-fitzgerald,book,Frances FitzGerald,"Way Out There in the Blue: Reagan, Star Wars and the End of the Cold War",,
creating-the-computer-government-industry-and-high-technology-flamm,book,Kenneth Flamm,"Creating the Computer: Government, Industry, and High Technology",,
validation-the-new-psychology-of-influence-fleck,book,Caroline Fleck,Validation: The New Psychology of Influence,,
genesis-and-development-of-a-scientific-fact-fleck-robert-k-merton,book,Ludwik Fleck,Genesis and Development of a Scientific Fact,,
luck-in-the-shadows-flewelling,book,Lynn Flewelling,Luck in the Shadows,,
washington-the-indispensible-man-flexner,book,James Thomas Flexner,Washington: The Indispensible Man,,
1632-flint,book,Eric Flint,1632,,
the-fires-how-a-computer-formula-big-ideas-and-the-best-of-intentions-burned-down-new-york-city-and-determined-the-future-of-cities-flood,book,Joe Flood,"The Fires: How a Computer Formula, Big Ideas, and the Best of Intentions Burned Down New York City-and Determined the Future of Cities",,
thunder-below-fluckey-snow,audiobook,Eugene B. Fluckey,Thunder Below!: The USS Barb Revolutionizes Submarine Warfare in World War II,,
the-nanotech-chronicles-flynn,book,Michael Flynn,The Nanotech Chronicles,,
special-men-a-lrps-recollections-foley,book,Dennis Foley,Special Men: A LRP's Recollections,,
the-interview-from-formal-to-postmodern-fontana-anastasia-h-prokos,book,Andrea Fontana,The Interview: From Formal to Postmodern,,
tank-warfare-on-the-eastern-front-1943-1945-red-steamroller-forczyk,book,Robert Forczyk,Tank Warfare on the Eastern Front 1943-1945: Red Steamroller,,
tank-warfare-on-the-eastern-front-19411942-schwerpunkt-forczyk,book,Robert Forczyk,"Tank Warfare on the Eastern Front, 1941–1942: Schwerpunkt",,
a-vision-so-noble-john-boyd-the-ooda-loop-and-americas-war-on-terror-ford,book,Daniel Ford,"A Vision So Noble: John Boyd, the OODA Loop, and America's War on Terror",,
aspects-ford,book,John M. Ford,Aspects,,
the-general-forester-merrill-l-bartlett,book,C.S. Forester,The General,,
the-good-shepherd-forester,book,C.S. Forester,The Good Shepherd,,
sams-teach-yourself-sqltm-in-10-minutes-forta,book,Ben Forta,Sams Teach Yourself SQL™ in 10 Minutes,,
madness-and-civilization-a-history-of-insanity-in-the-age-of-reason-foucault,book,Michel Foucault,Madness and Civilization: A History of Insanity in the Age of Reason,,
powerknowledge-selected-interviews-and-other-writings-1972-1977-foucault-colin-gordon,book,Michel Foucault,"Power/Knowledge: Selected Interviews and Other Writings, 1972-1977",,
the-order-of-things-an-archaeology-of-the-human-sciences-foucault,book,Michel Foucault,The Order of Things: An Archaeology of the Human Sciences,,
smart-power-climate-change-the-smart-grid-and-the-future-of-electric-utilities-fox-penner,book,Peter Fox-Penner,"Smart Power: Climate Change, the Smart Grid, and the Future of Electric Utilities",,
the-memory-of-fire-foy,book,George Foy,The Memory of Fire,,
on-bullshit-frankfurt,book,Harry G. Frankfurt,On Bullshit,,
mans-search-for-meaning-frankl-harold-s-kushner,book,Viktor E. Frankl,Man's Search for Meaning,,
the-cult-of-creativity-a-surprisingly-recent-history-franklin,book,Samuel Weil Franklin,The Cult of Creativity: A Surprisingly Recent History,,
flashman-fraser,book,George MacDonald Fraser,Flashman,,
quartered-safe-out-here-a-harrowing-tale-of-world-war-ii-fraser,book,George MacDonald Fraser,Quartered Safe Out Here: A Harrowing Tale of World War II,,
the-future-of-war-a-history-freedman,book,Lawrence Freedman,The Future of War: A History,,
as-time-goes-by-from-the-industrial-revolutions-to-the-information-revolution-paperback-freeman-francisco-louca,book,Christopher Freeman,As Time Goes by: From the Industrial Revolutions to the Information Revolution (Paperback),,
lees-lieutenants-a-study-in-command-freeman-stephen-w-sears,book,Douglas Southall Freeman,Lee's Lieutenants: A Study in Command,,
behemoth-a-history-of-the-factory-and-the-making-of-the-modern-world-freeman,book,Joshua B. Freeman,Behemoth: A History of the Factory and the Making of the Modern World,,
atlantic-nightmare-the-longest-military-campaign-in-world-war-ii-freeman,book,Richard Freeman,Atlantic Nightmare: The longest military campaign in World War II,,
a-small-colonial-war-frezza,book,Robert A. Frezza,A Small Colonial War,,
a-guide-to-divorce-mediation-how-to-reach-a-fair-legal-settlement-at-a-fraction-of-the-cost-part-one-an-introduction-to-mediation-friedman,book,Gary J. Friedman,"A Guide to Divorce Mediation: How to Reach a Fair, Legal Settlement at a Fraction of the Cost : Part One : An Introduction to Mediation",,
winning-a-future-war-war-gaming-and-victory-in-the-pacific-war-friedman-naval-history-and-heritage-command,book,Norman Friedman,Winning a Future War: War Gaming and Victory in the Pacific War,,
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east-fromkin,book,David Fromkin,A Peace to End All Peace: The Fall of the Ottoman Empire and The Creation of the Modern Middle East,,
game-design-workshop-a-playcentric-approach-to-creating-innovative-games-fullerton,book,Tracy Fullerton,Game Design Workshop: A Playcentric Approach to Creating Innovative Games,,
everybody-loses-funt,book,Danny Funt,Everybody Loses: The Tumultuous Rise of American Sports Gambling,,
crisis-in-command-mismanagement-in-the-army-gabriel-paul-savage,book,Richard A. Gabriel,Crisis in Command: Mismanagement in the Army,,
river-of-teeth-gailey,book,Sarah Gailey,River of Teeth,,
american-gods-gaiman,book,Neil Gaiman,American Gods,,
dont-panic-douglas-adams-the-hitchhikers-guide-to-the-galaxy-gaiman-david-k-dickson,book,Neil Gaiman,Don't Panic: Douglas Adams & The Hitchhiker's Guide to the Galaxy,,
norse-mythology-gaiman,book,Neil Gaiman,Norse Mythology,,
the-graveyard-book-gaiman-dave-mckean,book,Neil Gaiman,The Graveyard Book,,
fate-is-the-hunter-gann,book,Ernest K. Gann,Fate Is the Hunter,,
black-may-the-epic-story-of-the-allies-defeat-of-the-german-u-boats-in-may-1943-gannon,book,Michael Gannon,Black May: The Epic Story of the Allies' Defeat of the German U-Boats in May 1943,,
like-a-mother-a-feminist-journey-through-the-science-and-culture-of-pregnancy-garbes,book,Angela Garbes,Like a Mother: A Feminist Journey Through the Science and Culture of Pregnancy,,
the-lancaster-at-war-garbett-brian-goulding,book,Mike Garbett,The Lancaster at War,,
ascending-gardner,book,James Alan Gardner,Ascending,League of Peoples,5
commitment-hour-gardner,book,James Alan Gardner,Commitment Hour,League of Peoples,2
expendable-gardner,book,James Alan Gardner,Expendable,League of Peoples,1
hunted-gardner,book,James Alan Gardner,Hunted,League of Peoples,4
radiant-gardner,book,James Alan Gardner,Radiant,League of Peoples,7
trapped-gardner,book,James Alan Gardner,Trapped,League of Peoples,6
vigilant-gardner,book,James Alan Gardner,Vigilant,League of Peoples,3
edge-city-life-on-the-new-frontier-anchor-books-garreau,book,Joel Garreau,Edge City: Life on the New Frontier (Anchor Books),,
bearing-the-cross-martin-luther-king-jr-and-the-southern-christian-leadership-conference-garrow,book,David J. Garrow,"Bearing the Cross: Martin Luther King, Jr., And The Southern Christian Leadership Conference",,
after-the-fall-eclipse-phase-gates-ken-liu,book,Jaym Gates,After The Fall (Eclipse Phase),,
strange-california-gates-j-daniel-batt,book,Jaym Gates,Strange California,,
war-stories-new-military-science-fiction-gates-andrew-liptak,book,Jaym Gates,War Stories: New Military Science Fiction,,
an-introduction-to-discourse-analysis-theory-and-method-gee,book,James Paul Gee,An Introduction to Discourse Analysis: Theory and Method,,
women-and-gaming-the-sims-and-21st-century-learning-gee-elisabeth-r-hayes,book,James Paul Gee,Women and Gaming: The Sims and 21st Century Learning,,
ninety-percent-of-everything-inside-shipping-the-invisible-industry-that-puts-clothes-on-your-back-gas-in-your-car-and-food-on-your-plate-george,book,Rose George,"Ninety Percent of Everything: Inside Shipping, the Invisible Industry That Puts Clothes on Your Back, Gas in Your Car, and Food on Your Plate",,
the-childrens-illustrated-clausewitz-volume-1-gerald-nr-jenzen-jones,book,Caitlin Fitz Gerald,"The Children’s Illustrated Clausewitz, Volume 1",,
isis-a-history-gerges,book,Fawaz A. Gerges,ISIS: A History,,
the-future-is-history-how-totalitarianism-reclaimed-russia-gessen,book,Masha Gessen,The Future Is History: How Totalitarianism Reclaimed Russia,,
the-perfect-war-technowar-in-vietnam-military-history-series-gibson,book,James William Gibson,The Perfect War: Technowar in Vietnam (Military History Series),,
attachment-theory-a-guide-to-strengthening-the-relationships-in-your-life-gibson,book,Thais Gibson,Attachment Theory: A Guide to Strengthening the Relationships in Your Life,,
agency-gibson,book,William Gibson,Agency,Jackpot,2
distrust-that-particular-flavor-gibson,book,William Gibson,Distrust That Particular Flavor,,
idoru-gibson,book,William Gibson,Idoru,The Bridge,2
mona-lisa-overdrive-gibson,book,William Gibson,Mona Lisa Overdrive,The Sprawl,3
neuromancer-gibson,book,William Gibson,Neuromancer,The Sprawl,1
the-difference-engine-gibson-bruce-sterling,book,William Gibson,The Difference Engine,,
the-peripheral-gibson,book,William Gibson,The Peripheral,Jackpot,1
zero-history-gibson,book,William Gibson,Zero History,Blue Ant,3
life-in-a-medieval-city-medieval-life-gies-joseph-gies,book,Frances Gies,Life in a Medieval City (Medieval Life),,
dance-between-flames-berlin-between-the-wars-gill,book,Anton Gill,Dance Between Flames: Berlin Between the Wars,,
mandarins-of-the-future-modernization-theory-in-cold-war-america-new-studies-in-american-intellectual-and-cultural-history-gilman,book,Nils Gilman,Mandarins of the Future: Modernization Theory in Cold War America (New Studies in American Intellectual and Cultural History),,
i-want-to-believe-posadism-ufos-and-apocalypse-communism-gittlitz,book,A.M. Gittlitz,"I Want to Believe: Posadism, UFOs and Apocalypse Communism",,
empress-of-forever-gladstone,book,Max Gladstone,Empress of Forever,,
four-roads-cross-gladstone,book,Max Gladstone,Four Roads Cross,The Craft Sequence,5
full-fathom-five-gladstone,book,Max Gladstone,Full Fathom Five,The Craft Sequence,3
last-first-snow-gladstone,book,Max Gladstone,Last First Snow,The Craft Sequence,4
the-ruin-of-angels-gladstone,book,Max Gladstone,The Ruin of Angels,The Craft Sequence,6
three-parts-dead-gladstone,book,Max Gladstone,Three Parts Dead,The Craft Sequence,1
two-serpents-rise-gladstone,book,Max Gladstone,Two Serpents Rise,The Craft Sequence,2
david-and-goliath-underdogs-misfits-and-the-art-of-battling-giants-gladwell,book,Malcolm Gladwell,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",,
365-days-glasser,book,Ronald J. Glasser,365 Days,,
defector-phantom-air-combat-book-1-gledhill,book,David Gledhill,Defector (Phantom Air Combat Book 1),,
the-information-a-history-a-theory-a-flood-gleick,book,James Gleick,"The Information: A History, a Theory, a Flood",,
no-more-mr-nice-guy-glover,audiobook,Robert A. Glover,No More Mr. Nice Guy,,
other-minds-godfrey-smith,book,Peter Godfrey-Smith,Other Minds,,
faust-first-part-goethe-peter-salm,book,Johann Wolfgang von Goethe,"Faust, First Part",,
on-the-run-fugitive-life-in-an-american-city-fieldwork-encounters-and-discoveries-goffman,book,Alice Goffman,On the Run: Fugitive Life in an American City (Fieldwork Encounters and Discoveries),,
writing-down-the-bones-freeing-the-writer-within-goldberg,book,Natalie Goldberg,Writing Down the Bones: Freeing the Writer Within,,
tin-men-golden,book,Christopher Golden,Tin Men,,
crossings-how-road-ecology-is-shaping-the-future-of-our-planet-goldfarb,audiobook,Ben Goldfarb,Crossings: How Road Ecology Is Shaping the Future of Our Planet,,
the-paper-men-golding,book,William Golding,The Paper Men,,
the-princess-bride-goldman,book,William Goldman,The Princess Bride,,
lessons-in-disaster-mcgeorge-bundy-and-the-path-to-war-in-vietnam-goldstein,book,Gordon M. Goldstein,Lessons In Disaster: McGeorge Bundy And The Path To War In Vietnam,,
how-rome-fell-death-of-a-superpower-goldsworthy,audiobook,Adrian Goldsworthy,How Rome Fell: Death of a Superpower,,
pax-romana-goldsworthy,book,Adrian Goldsworthy,Pax Romana,,
lyndon-johnson-and-the-american-dream-goodwin,book,Doris Kearns Goodwin,Lyndon Johnson and the American Dream,,
team-of-rivals-the-political-genius-of-abraham-lincoln-goodwin,book,Doris Kearns Goodwin,Team of Rivals: The Political Genius of Abraham Lincoln,,
we-stand-divided-competing-visions-of-jewishness-and-the-rift-between-american-jews-and-israel-gordis,book,Daniel Gordis,We Stand Divided: Competing Visions of Jewishness and the Rift Between American Jews and Israel,,
phil-gordons-little-green-book-lessons-and-teachings-in-no-limit-texas-holdem-gordon-howard-lederer,book,Phil Gordon,Phil Gordon's Little Green Book: Lessons and Teachings in No Limit Texas Hold'em,,
kalpa-imperial-the-greatest-empire-that-never-was-gorodischer-ursula-k-le-guin,book,Angélica Gorodischer,Kalpa Imperial: The Greatest Empire That Never Was,,
dream-of-reason-a-history-of-western-philosophy-from-the-greeks-to-the-renaissance-gottlieb,book,Anthony Gottlieb,Dream of Reason: A History of Western Philosophy from the Greeks to the Renaissance,,
the-dream-of-enlightenment-the-rise-of-modern-philosophy-gottlieb,book,Anthony Gottlieb,The Dream of Enlightenment: The Rise of Modern Philosophy,,
the-mismeasure-of-man-gould,book,Stephen Jay Gould,The Mismeasure of Man,,
a-nocture-grace,rpg,Calum Grace,A Nocturne,,
the-cuddle-sutra-an-unabashed-celebration-of-the-ultimate-intimacy-grader,book,Rob Grader,The Cuddle Sutra: An Unabashed Celebration of the Ultimate Intimacy,,
debt-the-first-5000-years-graeber,book,David Graeber,"Debt: The First 5,000 Years",,
the-dawn-of-everything-a-new-history-of-humanity-graeber-david-wengrow,book,David Graeber,The Dawn of Everything: A New History of Humanity,,
the-utopia-of-rules-on-technology-stupidity-and-the-secret-joys-of-bureaucracy-graeber,book,David Graeber,"The Utopia of Rules: On Technology, Stupidity, and the Secret Joys of Bureaucracy",,
wings-of-the-eagle-grant,book,William T. Grant,Wings of the Eagle,,
the-bear-went-over-the-mountain-soviet-combat-tactics-in-afghanistan-grau,book,Lester W. Grau,The Bear Went Over the Mountain: Soviet Combat Tactics in Afghanistan,,
the-russian-way-of-war-grau-charles-k-bartles,book,Lester W. Grau,The Russian Way of War,,
claudius-the-god-and-his-wife-messalina-graves,book,Robert Graves,Claudius the God and His Wife Messalina,,
i-claudius-graves,book,Robert Graves,"I, Claudius",,
submarine-warriors-gray,book,Edwyn Gray,Submarine Warriors,,
angle-of-attack-harrison-storms-and-the-race-to-the-moon-gray,book,Mike Gray,Angle of Attack: Harrison Storms and the Race to the Moon,,
house-of-the-rain-king-greatwich,book,Will Greatwich,House of the Rain King,,
future-wars-greenberg-larry-segriff,book,Martin H. Greenberg,Future Wars,,
monsignor-quixote-greene,book,Graham Greene,Monsignor Quixote,,
prescribing-by-numbers-drugs-and-the-definition-of-disease-greene,book,Jeremy A. Greene,Prescribing by Numbers: Drugs and the Definition of Disease,,
the-48-laws-of-power-greene,book,Robert Greene,The 48 Laws of Power,,
bad-company-private-equity-and-the-death-of-the-american-dream-greenwell,book,Megan Greenwell,Bad Company: Private Equity and the Death of the American Dream,,
mcnamaras-folly-the-use-of-low-iq-troops-in-the-vietnam-war-gregory,book,Hamilton Gregory,McNamara's Folly: The Use of Low-IQ Troops in the Vietnam War,,
on-the-clock-what-low-wage-work-did-to-me-and-how-it-drives-america-insane-guendelsberger,book,Emily Guendelsberger,On the Clock: What Low-Wage Work Did to Me and How It Drives America Insane,,
a-wizard-of-earthsea-guin,book,Ursula K. Le Guin,A Wizard of Earthsea,Earthsea,1
city-of-illusions-guin,audiobook,Ursula K. Le Guin,City of Illusions,Hainish Cycle,3
lavinia-guin,book,Ursula K. Le Guin,Lavinia,,
planet-of-exile-guin,audiobook,Ursula K. Le Guin,Planet of Exile,Hainish Cycle,2
rocannons-world-guin,book,Ursula K. Le Guin,Rocannon’s World,Hainish Cycle,1
tales-from-earthsea-guin,book,Ursula K. Le Guin,Tales from Earthsea,Earthsea,6
tehanu-guin,book,Ursula K. Le Guin,Tehanu,Earthsea,4
the-dispossessed-an-ambiguous-utopia-guin,book,Ursula K. Le Guin,The Dispossessed: An Ambiguous Utopia,Hainish Cycle,6
the-farthest-shore-guin,book,Ursula K. Le Guin,The Farthest Shore,Earthsea,3
the-lathe-of-heaven-guin,book,Ursula K. Le Guin,The Lathe of Heaven,,
the-left-hand-of-darkness-guin,audiobook,Ursula K. Le Guin,The Left Hand of Darkness,Hainish Cycle,4
the-other-wind-guin,book,Ursula K. Le Guin,The Other Wind,Earthsea,5
the-tombs-of-atuan-guin,book,Ursula K. Le Guin,The Tombs of Atuan,Earthsea,2
the-winds-twelve-quarters-guin,book,Ursula K. Le Guin,The Wind's Twelve Quarters,,
the-word-for-world-is-forest-guin,book,Ursula K. Le Guin,The Word for World Is Forest,Hainish Cycle,5
the-road-to-jonestown-jim-jones-and-peoples-temple-guinn,book,Jeff Guinn,The Road to Jonestown: Jim Jones and Peoples Temple,,
the-profession-of-arms-hackett,book,John Hackett,The profession of arms,,
rewriting-the-soul-multiple-personality-and-the-sciences-of-memory-hacking,book,Ian Hacking,Rewriting the Soul: Multiple Personality and the Sciences of Memory,,
the-social-construction-of-what-hacking,book,Ian Hacking,The Social Construction of What?,,
about-face-odyssey-of-an-american-warrior-hackworth-julie-sherman,book,David H. Hackworth,About Face: Odyssey Of An American Warrior,,
steel-my-soldiers-hearts-the-hopeless-to-hardcore-transformation-of-us-army-4th-battalion-39th-infantry-vietnam-hackworth-eilhys-england,book,David H. Hackworth,"Steel My Soldiers' Hearts: The Hopeless to Hardcore Transformation of U.S. Army, 4th Battalion, 39th Infantry, Vietnam",,
